"Date","Price","Open","High","Low","Change %"
"Jun 09, 2019","1.2592","1.2732","1.2760","1.2580","-1.13%"
"Jun 02, 2019","1.2736","1.2628","1.2764","1.2609","0.82%"
"May 26, 2019","1.2632","1.2728","1.2756","1.2558","-0.64%"
"May 19, 2019","1.2713","1.2720","1.2814","1.2605","-0.06%"
"May 12, 2019","1.2720","1.2999","1.3042","1.2713","-2.15%"
"May 05, 2019","1.3000","1.3114","1.3172","1.2968","-1.32%"
"Apr 28, 2019","1.3174","1.2928","1.3178","1.2905","1.97%"
"Apr 21, 2019","1.2919","1.2996","1.3020","1.2866","-0.57%"
"Apr 14, 2019","1.2993","1.3080","1.3124","1.2982","-0.69%"
"Apr 07, 2019","1.3083","1.3036","1.3135","1.3021","0.35%"
"Mar 31, 2019","1.3037","1.3037","1.3197","1.2987","0.03%"
"Mar 24, 2019","1.3033","1.3207","1.3271","1.2978","-1.35%"
"Mar 17, 2019","1.3212","1.3288","1.3313","1.3006","-0.59%"
"Mar 10, 2019","1.3291","1.3019","1.3385","1.2949","2.10%"
"Mar 03, 2019","1.3017","1.3236","1.3276","1.2991","-1.42%"
"Feb 24, 2019","1.3204","1.3075","1.3351","1.3041","1.15%"
"Feb 17, 2019","1.3054","1.2892","1.3110","1.2891","1.26%"
"Feb 10, 2019","1.2891","1.2950","1.2959","1.2772","-0.44%"
"Feb 03, 2019","1.2948","1.3084","1.3104","1.2853","-1.05%"
"Jan 27, 2019","1.3086","1.3196","1.3215","1.3043","-0.89%"
"Jan 20, 2019","1.3203","1.2884","1.3218","1.2830","2.55%"
"Jan 13, 2019","1.2875","1.2849","1.3002","1.2670","0.25%"
"Jan 06, 2019","1.2843","1.2729","1.2867","1.2706","0.90%"
"Dec 30, 2018","1.2728","1.2682","1.2816","1.2438","0.17%"
"Dec 23, 2018","1.2707","1.2652","1.2744","1.2616","0.60%"
"Dec 16, 2018","1.2631","1.2591","1.2708","1.2569","0.37%"
"Dec 09, 2018","1.2584","1.2728","1.2760","1.2476","-1.14%"
"Dec 02, 2018","1.2729","1.2770","1.2841","1.2659","-0.18%"
"Nov 25, 2018","1.2752","1.2853","1.2865","1.2725","-0.48%"
